CustomerID,CompanyName,CompanyNumber,TaxNumber,Email,Address,City,Country,PhoneNumber,IndustrialCodeLevel1,IndustrialCodeLevel2,IndustrialCodeLevel3,CompanyEstablishmentDate,CustomerEstablishmentDate,Face_to_Face_Establishment,AccountBalance,AverageAccountBalance,AverageTransactionAmount,LastODD
46801,Williams LLC,897459098,897459098,nicole36@sanford.net,"84939 Anna Stravenue, East Kellyburgh, SD 79601",East Kellyburgh,Norway,76331459.0,46,46.4,46.433,2007-08-08,2021-09-23,No,6753779.696032928,6722428.25,242260.39,2023-03-31
50508,Patterson-Williams,627734791,627734791,ptrujillo@thompson.com,"704 Black Vista Suite 100, New Leslie, DE 84238",New Leslie,Norway,83037185.0,86,86.2,86.23,2007-02-18,2019-07-03,No,2955283.8809202192,2880624.45,2249029.05,2021-09-06
23424,"Boyle, Stephenson and Brown",877268888,877268888,taylormichael@simpson.com,"915 Krueger Pike, Smithview, NJ 76692",Smithview,Norway,81554119.0,86,86.1,86.101,1997-06-30,2010-09-03,No,9981922.643181168,12460889.0,2558737.35,2021-05-21
41440,Martin-Hartman,410020015,410020015,jerome99@guerrero.com,"4058 Heather Dam Suite 588, Fernandeztown, ME 08052",Fernandeztown,Norway,90315968.0,95,95.1,95.11,2011-12-29,2022-11-21,No,9547176.459275477,9485332.28,124904.02,2022-01-05
38609,Moody-Williams,225734447,225734447,rossdarren@shepherd-moran.com,"11420 Kayla Neck Apt. 266, West Megan, DE 62215",West Megan,Norway,90951504.0,47,47.9,47.915,2004-10-22,2011-07-19,No,4790335.841954594,4865881.87,1562699.88,2023-09-17
25656,"Taylor, Boyd and Jones",628565859,628565859,fpotter@ingram-booker.com,"017 Lewis Divide, Pagechester, KS 53380",Pagechester,Norway,84591431.0,16,2024-01-16 00:00:00,2024-01-16 00:00:00,2002-10-28,2010-04-06,No,7288608.273506647,7316667.51,1569601.29,2022-05-22
40514,Harper and Sons,795445965,795445965,rodriguezsarah@simon-miller.com,"81824 Mario Skyway Suite 947, Lovestad, TX 28903",Lovestad,Norway,33371508.0,46,46.1,46.13,2009-04-15,2011-06-30,Yes,943372.2783487492,912365.51,2947916.68,2023-10-17
19831,Chang-Miranda,599410111,599410111,natalierodriguez@johnson-ramirez.org,"07279 William Crossing Suite 070, Andreastad, IA 55571",Andreastad,Norway,77579656.0,46,46.1,46.17,2019-11-15,2023-11-13,Yes,3522955.7606242644,3573774.7,1462497.77,2022-01-30
43197,Montgomery Ltd,808389461,808389461,bwhite@young.com,"34635 Nancy Fords Suite 213, Neilland, NY 09028",Neilland,Norway,60805055.0,49,49.4,49.41,2023-10-05,2023-11-24,No,3746724.984412192,3768925.21,1093688.7,2021-11-11
25178,"Jackson, Kelly and Bautista",663330608,663330608,greenbrandon@elliott.com,"068 Gilbert Landing, Port Amymouth, NV 57254",Port Amymouth,Norway,31997030.0,30,2024-09-30 00:00:00,30.92,2013-06-10,2014-11-23,No,9226231.984678086,9156501.31,1474772.72,2021-11-29
22186,"Meyer, Booth and Brooks",453014703,453014703,keith69@leon.com,"04248 Salazar Parks, Stephenmouth, WA 53599",Stephenmouth,Norway,66297294.0,25,2024-03-25 00:00:00,2024-03-25 00:00:00,2005-08-23,2012-12-17,No,6084036.441616952,6131558.93,1683004.01,2023-05-08
43742,Carlson-Baldwin,307326424,307326424,jeffreybrown@owen.com,"3803 Adams Circle Suite 808, Angelabury, VI 12938",Angelabury,Norway,44251889.0,46,46.4,46.472,2019-03-23,2019-12-28,Yes,6738694.218519251,6641505.78,1332263.8,2022-10-20
17986,"Newman, Young and Chambers",179014040,179014040,scottortiz@price.com,"0614 Shaw Locks, Williamsport, AR 51882",Williamsport,Norway,82306068.0,23,2024-05-23 00:00:00,23.51,2011-12-05,2021-08-24,No,1261413.7566640906,1189120.6,2161397.49,2023-06-11
19501,"Lawson, Anderson and Macdonald",535588481,535588481,hrios@liu.com,"3595 Davenport Grove Suite 983, Stephanieland, TN 54703",Stephanieland,Norway,68970010.0,71,71.1,71.129,2022-11-20,2023-07-07,No,2961979.8129375414,2896480.19,2019317.89,2021-10-24
14549,"Hill, Choi and Kirk",910503576,910503576,rachel69@williams-mccarthy.com,"9776 Ryan Motorway, Lake Stephenfurt, NM 86802",Lake Stephenfurt,Norway,84120103.0,78,78.3,78.3,2021-09-06,2023-06-09,No,3416965.608925025,3502677.12,2847409.4,2021-05-06
32777,Snow Group,611398855,611398855,uthompson@park.net,"42155 Ball Rapids, New Joshuastad, KY 45374",New Joshuastad,Norway,41962909.0,90,90.0,90.019,2019-08-31,2019-11-19,Yes,9579108.671153542,9543005.43,1034037.52,2023-07-18
44982,Hall-Martin,227617588,227617588,david90@bentley.com,"44068 Cheryl Turnpike Suite 347, Lake Waynetown, GA 15168",Lake Waynetown,Norway,44199396.0,95,95.2,95.25,1994-11-23,1995-09-02,Yes,2418421.28278442,2428858.42,832324.59,2023-11-29
52517,"Allison, Jones and Reeves",969160548,969160548,urose@johnson-henry.biz,"82448 Cook Track, Reginamouth, IL 58953",Reginamouth,Norway,68165903.0,84,84.2,84.23,1999-04-03,2012-05-15,No,5905551.056822475,5843809.99,1677977.54,2022-07-28
40995,Harrison-Brock,760279346,760279346,anthonycastro@robbins.com,"83282 Brady Creek Suite 430, Kristaside, IN 56378",Kristaside,Norway,69801617.0,46,46.5,46.51,2007-07-22,2022-08-01,Yes,6742699.467951944,6736799.93,3456297.15,2022-05-01
26599,Haney and Sons,667737505,667737505,rodriguezjill@morgan.com,"02966 Bowers Cliff, Galvanborough, CA 12874",Galvanborough,Norway,63674071.0,1,2024-06-01 00:00:00,1962-01-01 00:00:00,1998-01-25,2019-07-20,No,8811341.523648819,8902796.59,2639170.11,2022-03-21
54666,"Floyd, Medina and Garza",738495600,738495600,robertskimberly@gilmore.com,"032 Jason Unions Apt. 730, New Kayleemouth, FL 50568",New Kayleemouth,Norway,71533086.0,24,2024-01-24 00:00:00,24.102,2018-05-09,2019-06-19,Yes,5975954.938878176,5882178.45,671461.18,2022-02-07
13003,"Jordan, Hendricks and Larson",823525265,823525265,christinewilliams@rivera.biz,"0898 Wheeler Ways, Baileyberg, NY 08080",Baileyberg,Norway,55353155.0,93,93.1,93.19,2005-06-20,2014-12-18,Yes,4478566.892578928,4486966.11,938920.95,2022-09-08
54917,Greer-Mathews,242652349,242652349,zsmith@davis.biz,"659 Cook Station, Millerbury, FL 28207",Millerbury,Norway,35756735.0,68,68.2,68.209,2020-09-22,2023-06-02,Yes,6463083.169478587,6492741.9,1110491.37,2021-04-30
42374,Wagner and Sons,577980650,577980650,jackpittman@chapman.org,"9581 Laura Drive Suite 255, Laurahaven, HI 02983",Laurahaven,Norway,71135307.0,79,79.1,79.12,2018-11-27,2024-03-07,No,6409832.610175995,6358251.32,220458.94,2021-05-30
19838,Moore Group,268510626,268510626,aaronhall@fischer.com,"254 Hughes Turnpike, South Davidton, PW 81058",South Davidton,Norway,66447047.0,16,2024-02-16 00:00:00,16.231,1998-02-22,2013-05-12,No,4027472.5351864193,3944745.11,2023525.01,2022-03-16
46311,Phillips Ltd,764913103,764913103,pricebrittany@kelly.biz,"5826 Jacob Hollow, North Shane, WA 14834",North Shane,Norway,72955048.0,18,2024-01-18 00:00:00,2024-12-18 00:00:00,2009-09-17,2017-10-27,Yes,4123509.813740378,4110839.55,1967029.06,2022-07-31
40384,Anderson Ltd,874601934,874601934,qtaylor@salazar.com,"USCGC Potts, FPO AE 17825",USCGC Potts,Germany,75510530.0,24,2024-04-24 00:00:00,24.46,2020-12-15,2022-11-28,No,3891713.0933946674,3875604.08,1550140.85,2022-08-26
36804,Smith-Rodgers,121924162,121924162,castillosierra@ramos-hill.com,"681 Cameron Run Apt. 664, South Debrashire, WY 34344",South Debrashire,Germany,88698522.0,49,49.3,49.311,2015-08-15,2019-07-29,Yes,1701586.037920538,1788980.27,739005.77,2023-02-19
12593,Neal-Pierce,275141434,275141434,bonniebates@barrett-becker.info,"23496 Lisa Ports Suite 354, Floydfort, OR 37771",Floydfort,Norway,94237161.0,46,46.3,46.37,1994-06-26,2014-09-14,No,7792824.420712936,7774737.73,2715011.06,2023-03-17
36237,Johnson Group,977448898,977448898,guzmanmelanie@rodriguez-edwards.com,"7112 Franklin Lock, New Stephanie, NY 24563",New Stephanie,Norway,88318473.0,87,87.3,87.305,2012-04-24,2016-01-05,No,3999650.413132914,3909255.69,513608.64,2023-01-02
17325,Green-Velazquez,578832510,578832510,brownbilly@chavez.biz,"9282 Davis Crest, New Russellborough, DE 26945",New Russellborough,Norway,59210296.0,43,43.3,43.341,2006-03-19,2012-10-29,Yes,7090409.364493539,7174570.3,2402908.34,2023-03-03
50994,Galvan-Reed,107737288,107737288,amy65@newman.com,"8910 Holly Trail Suite 582, Perezhaven, OR 52510",Perezhaven,Denmark,44043611.0,84,84.2,84.23,2019-06-29,2023-03-31,No,7562457.590804509,7627307.99,2731109.2,2022-03-20
24509,"Gallagher, Taylor and Mcdonald",411483667,411483667,peggyterry@hodges-arroyo.com,"PSC 3608, Box 0808, APO AA 99852",Box 0808,Norway,49142429.0,56,56.1,56.102,2009-09-17,2021-08-27,No,7744762.539214984,7758906.34,666408.52,2021-06-30
34847,"Howard, Newton and White",394513804,394513804,william48@lopez.com,"78899 Smith Mall, Brownstad, ME 40017",Brownstad,Norway,32640208.0,28,2024-09-28 00:00:00,28.94,1997-03-24,1997-09-24,No,3414098.080512516,3322762.89,2322571.03,2021-08-04
48903,Cobb-Ramirez,105473695,105473695,john32@mcfarland.com,"589 Hubbard Stravenue, Tracystad, IN 45972",Tracystad,Norway,79699718.0,46,46.4,46.499,2016-09-19,2022-07-06,No,4571938.052745947,4640134.25,600060.7,2023-04-22
39190,Evans-English,522143388,522143388,anthonyboone@shaffer.com,"940 Brian Causeway Suite 121, New Jenniferfort, OR 22969",New Jenniferfort,Norway,91098497.0,47,47.7,47.721,2020-02-18,2020-04-22,No,1066391.4377023813,1038903.98,1585747.34,2024-02-16
16250,Goodman Group,784009671,784009671,webercarl@gonzales.com,"251 Lori Brook, Thomasstad, AZ 14703",Thomasstad,Norway,71567623.0,3,2024-02-03 00:00:00,3.223,2003-04-04,2024-02-26,No,2454077.2267941195,2482604.64,3185888.95,2023-08-26
22708,Anderson-Juarez,580343272,580343272,angela89@johnson-beck.net,"12284 Bender Row, South Michaelburgh, NY 98075",South Michaelburgh,Norway,97159183.0,27,2024-03-27 00:00:00,27.33,2000-08-15,2015-12-14,No,4884660.532428578,4909180.03,1537916.72,2023-09-17
53623,Williams-Leonard,145850633,145850633,masonpatricia@henry.com,"5702 Schneider Well Apt. 216, Port Matthew, IL 78791",Port Matthew,Norway,34755823.0,23,2024-04-23 00:00:00,23.41,2007-09-28,2019-05-28,Yes,9861533.134664807,9866304.73,653550.21,2024-02-02
19847,"Jones, Alvarez and Valenzuela",730974329,730974329,baileycynthia@wall-khan.com,"13519 Andrews Greens Suite 322, Sandrabury, NV 51052",Sandrabury,Norway,83602172.0,47,47.4,47.43,2006-09-15,2020-01-05,No,2320198.306637621,2300222.86,762216.89,2022-08-01
34559,"Howell, Campbell and Duran",313449253,313449253,asmith@fuentes.net,"7364 Brittany Mission Suite 459, Fullerchester, KS 95959",Fullerchester,Norway,79408026.0,20,2024-02-20 00:00:00,2024-02-20 00:00:00,2014-09-18,2021-08-19,No,1967902.8780561972,2026888.33,1286191.33,2021-10-25
57770,Brown-French,554710603,554710603,leroy16@green.com,"911 Koch Inlet, Rhondamouth, NM 40988",Rhondamouth,Norway,62314104.0,10,2024-02-10 00:00:00,10.202,2016-11-30,2023-08-27,No,4146210.020638991,4141673.28,961233.15,2023-12-01
13610,Copeland-Mayo,511961022,511961022,sharoncraig@meadows-willis.info,"5024 Austin Grove, Ninashire, PW 57285",Ninashire,Norway,98964151.0,46,46.4,46.473,2008-09-19,2009-05-04,No,4868627.81094151,4838727.5,2262770.26,2023-07-22
42278,Holland Group,265088831,265088831,shawnstevens@barber.org,"31969 Walter Fields Suite 768, Aprilland, IA 94406",Aprilland,Norway,46002781.0,91,91.0,91.029,2014-01-27,2016-01-02,No,5852619.343562132,5756225.33,1737341.97,2021-10-24
59381,Barrett LLC,596649189,596649189,nroth@atkinson.com,"68102 Nolan Stream Apt. 841, New Karenstad, WV 69788",New Karenstad,Norway,75499014.0,84,84.1,84.11,1995-08-31,2024-01-16,Yes,1865072.7012995435,1829986.67,932759.41,2022-06-18
10897,Garcia and Sons,912684836,912684836,anthonywalker@maynard-tucker.com,"USCGC Wilson, FPO AP 49480",USCGC Wilson,China,63835902.0,85,85.5,85.595,2003-07-19,2019-08-03,No,1025154.4144753008,1083945.12,2138393.75,2022-07-02
